year,statewide_total_revenue,statewide_local_revenue,statewide_state_revenue,statewide_federal_revenue,local_share,state_share,federal_share,other_share,share_sum
2008,39170726484.0,14593226990.0,18145599502.0,4285781958.0,0.3726,0.4632,0.1094,0.0548,1.0
2009,40679382595.0,15931463478.0,17983502125.0,4694013425.0,0.3916,0.4421,0.1154,0.0509,1.0
2010,43262822735.0,16505341290.0,17412581577.0,7441685260.0,0.3815,0.4025,0.172,0.044,1.0
2011,44059370286.0,16387134964.0,18190876853.0,7603037596.0,0.3719,0.4129,0.1726,0.0426,1.0
2012,42823008835.0,16565209852.0,18292370136.0,6036712967.0,0.3868,0.4272,0.141,0.045,1.0
2013,43140824741.0,17508536438.0,18170948637.0,5502524117.0,0.4058,0.4212,0.1275,0.0454,1.0
2014,46048620256.0,18635894849.0,19807085704.0,5603579381.0,0.4047,0.4301,0.1217,0.0435,1.0
2015,48281356792.0,19918899148.0,20503355236.0,5796289326.0,0.4126,0.4247,0.1201,0.0427,1.0
2016,50363634516.0,20723551710.0,21523756253.0,5927861202.0,0.4115,0.4274,0.1177,0.0435,1.0
2017,51152676919.0,21825061261.0,20985802446.0,6001484751.0,0.4267,0.4103,0.1173,0.0458,1.0
2018,53494811042.0,23311618526.0,21133674345.0,6395395368.0,0.4358,0.3951,0.1196,0.0496,1.0
2019,56707826255.0,24943497732.0,21921438167.0,6959931329.0,0.4399,0.3866,0.1227,0.0508,1.0
2020,59231167659.0,25533913274.0,24198968656.0,7015215596.0,0.4311,0.4086,0.1184,0.0419,1.0
2021,61653495537.0,26132322677.0,24792291636.0,8899057269.0,0.4239,0.4021,0.1443,0.0297,1.0
2022,67546683064.0,26795122749.0,24396897632.0,14103811039.0,0.3967,0.3612,0.2088,0.0333,1.0
2023,70565356520.0,28691872133.0,23719158787.0,14132922804.0,0.4066,0.3361,0.2003,0.057,1.0
2024,71919121311.0,25115673157.0,30587705535.0,11797301551.0,0.3492,0.4253,0.164,0.0614,1.0
