district_id,district_name,years_observed,deficit_rate,margin_pct_3yr_avg,risk_score
021902,"BRYAN ISD",17,1.0,-0.0198,0.7059
061902,"LEWISVILLE ISD",17,0.941,-0.0563,0.6757
227909,"EANES ISD",17,0.941,-0.048,0.6732
015901,"ALAMO HEIGHTS ISD",17,0.882,-0.0719,0.6392
061901,"DENTON ISD",17,0.882,-0.0513,0.633
220905,"FORT WORTH ISD",17,0.882,-0.034,0.6278
220912,"CROWLEY ISD",17,0.824,-0.0441,0.5897
184908,"PEASTER ISD",17,0.824,-0.0264,0.5844
057906,"DESOTO ISD",17,0.765,-0.0431,0.5482
246904,"GEORGETOWN ISD",17,0.765,-0.0301,0.5443
101915,"KLEIN ISD",17,0.765,-0.0277,0.5436
079907,"FORT BEND ISD",17,0.765,-0.021,0.5416
152907,"FRENSHIP ISD",17,0.765,-0.02,0.5413
015910,"NORTH EAST ISD",17,0.765,0.0081,0.5329
220901,"ARLINGTON ISD",17,0.765,0.0167,0.5303
057919,"SUNNYVALE ISD",15,0.733,-0.0368,0.5244
043919,"LOVEJOY ISD",17,0.765,0.043,0.5224
220907,"KELLER ISD",17,0.706,-0.0663,0.514
126905,"JOSHUA ISD",17,0.706,-0.0574,0.5114
170903,"MONTGOMERY ISD",17,0.706,-0.044,0.5073
043910,"PLANO ISD",17,0.706,-0.0245,0.5015
061912,"LAKE DALLAS ISD",17,0.706,-0.0178,0.4995
101920,"SPRING BRANCH ISD",17,0.706,-0.0125,0.4979
227910,"DEL VALLE ISD",17,0.706,-0.004,0.4953
184902,"SPRINGTOWN ISD",17,0.706,0.0062,0.4923
