district_id,district_name,years_observed,deficit_rate,margin_pct_3yr_avg,delta_margin_3yr_avg,trend_direction
227909,"EANES ISD",17,0.941,-0.048,-0.0117,worsening
015901,"ALAMO HEIGHTS ISD",17,0.882,-0.0719,-0.0397,worsening
220905,"FORT WORTH ISD",17,0.882,-0.034,-0.0355,worsening
061901,"DENTON ISD",17,0.882,-0.0513,-0.0082,worsening
184908,"PEASTER ISD",17,0.824,-0.0264,-0.0784,worsening
220912,"CROWLEY ISD",17,0.824,-0.0441,-0.0115,worsening
057906,"DESOTO ISD",17,0.765,-0.0431,-0.0581,worsening
015910,"NORTH EAST ISD",17,0.765,0.0081,-0.0214,worsening
152907,"FRENSHIP ISD",17,0.765,-0.02,-0.0187,worsening
101915,"KLEIN ISD",17,0.765,-0.0277,-0.0171,worsening
220901,"ARLINGTON ISD",17,0.765,0.0167,-0.0109,worsening
170903,"MONTGOMERY ISD",17,0.706,-0.044,-0.0273,worsening
126905,"JOSHUA ISD",17,0.706,-0.0574,-0.0271,worsening
184902,"SPRINGTOWN ISD",17,0.706,0.0062,-0.0172,worsening
043910,"PLANO ISD",17,0.706,-0.0245,-0.0117,worsening
147902,"GROESBECK ISD",17,0.706,0.0135,-0.0073,worsening
057904,"CEDAR HILL ISD",17,0.647,-0.0282,-0.0257,worsening
170908,"NEW CANEY ISD",17,0.647,0.0372,-0.0089,worsening
227901,"AUSTIN ISD",17,0.647,-0.0093,-0.0071,worsening
221901,"ABILENE ISD",17,0.647,0.0388,-0.006,worsening
070905,"FERRIS ISD",17,0.647,-0.0668,-0.0059,worsening
201914,"WEST RUSK COUNTY CONSOLIDATED ISD",11,0.636,0.027,-0.0217,worsening
178902,"BISHOP CISD",17,0.588,-0.0596,-0.0628,worsening
227907,"MANOR ISD",17,0.588,-0.0531,-0.0487,worsening
071903,"FABENS ISD",17,0.588,0.0633,-0.0384,worsening
